country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,,,,,,,,68.1k,65.9k,,,58.8k,56.9k,55.3k,54.4k,53k,50.8k,46.9k,42.3k,37.9k,34.2k,32.7k,33.2k,35.1k,37.5k,25.8k,21.3k,,,,,,,,789,,,,,727,674,223,50,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6k,24.3k,33.2k,22k,26.4k,27k,29.9k,29.9k,28.8k,24.2k,18.8k,12k,6550,
China,,,,,,,,,,,,,,,,,,5.64M,,3.58M,,2.95M,3.32M,3.88M,4.77M,5.8M,6.69M,7.25M,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,323k,,,,,,,,,,,,,,,,,,,622k,631k,,647k,685k,646k,675k,713k,,,,,,822k,,,,621k,577k,518k,330k,289k,198k,167k,143k
Cameroon,,218k,225k,242k,256k,231k,228k,242k,243k,244k,250k,,,,,,,,282k,,312k,340k,,,,,,,,,,,,,,,,,,,,276k,,,,,177k,210k,,263k,
"Congo, Dem. Rep.",,732k,769k,,,764k,,,,814k,,,,812k,806k,,,,1.13M,,,1.31M,1.39M,1.47M,1.53M,1.47M,,,,2.41M,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,26.3k,,20.7k,,16.3k,,11k,10.6k,20.6k,22.7k,22.1k,21.3k,20.7k,,,,,,,,,,,,,,,,,,,,,119k,134k,,,,49.4k,,23.5k,,,,,,67.7k,,
Colombia,,,,,,,,,,,,,,,,,576k,,,,,451k,,,,,,,,62.1k,67.3k,180k,166k,,56.8k,,,,,18.3k,51.1k,58.6k,98.5k,,,64.4k,76.7k,41.6k,32.9k,5760,
Comoros,,,,,,,,,,,,,,,,,,9800,,,,,,,14.2k,,,,,19.2k,16.9k,,,,,,,11.7k,,,,,,7970,8260,,,9190,11.1k,,
Cape Verde,,,,,,,,,,,,2810,3260,4090,2160,1510,1140,694,,,,,,,,,,,,,,899,1070,1290,1620,1270,791,1060,1370,1730,1940,2450,2290,2340,2350,2270,2510,2410,2240,2520,
Costa Rica,24.6k,,21.1k,19.3k,,16k,12.1k,,14.3k,16.5k,16.4k,15.9k,18.8k,,,25.9k,24.9k,25.5k,,26.8k,27.3k,26.7k,,,,,,,,,,,,,,,,,,,,,,767,4940,4150,2970,6900,,,
Cuba,,,44.6k,40.3k,36.1k,,,,,,25.1k,38.1k,45k,44.7k,48.2k,56.5k,50.6k,39.8k,39.1k,36.5k,35.3k,36.8k,26k,23k,13.1k,14k,7270,9040,8380,5040,4240,,,7320,9620,12.6k,15.1k,14.7k,14.6k,7600,4930,5980,8010,8100,17.9k,21.9k,19.9k,15.9k,8270,3300,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,107,228,,320,398,299,175,222,,,191,206,253,,,,,273,,202
